TIPO,NUMERO,INICIO,FIN,ORIGEN,DESTINO
Eléctrica,5348,2023-02-01 18:21:00,2023-02-01 18:50:00,202,208
Eléctrica,5335,2023-02-03 17:43:00,2023-02-03 18:03:00,204,803
Eléctrica,5210,2023-02-03 18:51:00,2023-02-03 19:09:00,803,809
Eléctrica,5335,2023-02-03 20:05:00,2023-02-03 20:30:00,803,11
Mecánica,20,2023-02-07 16:27:00,2023-02-07 17:02:00,505,208
Eléctrica,5150,2023-02-10 22:41:00,2023-02-10 22:55:00,204,204
Eléctrica,5228,2023-02-14 17:48:00,2023-02-14 18:12:00,204,803
Eléctrica,5217,2023-02-14 19:58:00,2023-02-14 20:17:00,803,204
Mecánica,522,2023-03-11 20:31:00,2023-03-11 20:48:00,11,602
Eléctrica,5263,2023-03-11 23:56:00,2023-03-12 00:07:00,9,203
Eléctrica,5376,2023-03-26 18:03:00,2023-03-26 18:24:00,204,803
Mecánica,167,2023-03-26 21:17:00,2023-03-26 21:39:00,803,204
Mecánica,539,2023-04-27 20:10:00,2023-04-27 20:25:00,202,204
Eléctrica,5258,2023-05-11 17:09:00,2023-05-11 17:22:00,201,403
Mecánica,286,2023-05-21 00:47:00,2023-05-21 00:57:00,201,7
Mecánica,1221,2023-05-31 17:54:00,2023-05-31 18:06:00,201,9
Mecánica,308,2023-06-06 20:20:00,2023-06-06 20:41:00,809,204
Eléctrica,5346,2023-06-07 06:46:00,2023-06-07 07:00:00,13,602
Eléctrica,5164,2023-06-13 01:04:00,2023-06-13 01:16:00,602,201
Eléctrica,5266,2023-06-13 12:08:00,2023-06-13 12:29:00,204,803
Mecánica,103,2023-06-13 14:07:00,2023-06-13 14:31:00,803,204
Eléctrica,5084,2023-07-04 21:41:00,2023-07-04 21:55:00,901,901
Mecánica,624,2023-07-16 13:14:00,2023-07-16 13:26:00,201,305
Mecánica,624,2023-07-16 14:37:00,2023-07-16 14:47:00,305,201
Eléctrica,5012,2023-08-08 18:07:00,2023-08-08 18:29:00,204,803
Mecánica,91,2023-08-08 20:51:00,2023-08-08 21:24:00,803,204
Eléctrica,5246,2023-08-16 18:38:00,2023-08-16 19:02:00,204,803
Mecánica,658,2023-08-16 21:24:00,2023-08-16 21:48:00,803,204
Eléctrica,5412,2023-08-25 19:57:00,2023-08-25 20:17:00,204,803
Eléctrica,5092,2023-09-09 14:34:00,2023-09-09 14:57:00,204,803
Eléctrica,5271,2023-09-15 19:00:00,2023-09-15 19:20:00,204,803
Mecánica,505,2023-09-16 14:40:00,2023-09-16 14:51:00,9,201
Mecánica,734,2023-10-25 18:24:00,2023-10-25 18:38:00,204,8
Mecánica,734,2023-10-25 21:23:00,2023-10-25 21:36:00,8,201
Mecánica,890,2023-10-26 23:18:00,2023-10-26 23:31:00,8,201
Eléctrica,5145,2023-10-29 12:16:00,2023-10-29 12:38:00,204,803
Mecánica,666,2023-10-29 20:06:00,2023-10-29 20:28:00,803,204
Mecánica,93,2023-11-11 20:10:00,2023-11-11 20:28:00,204,905
Mecánica,503,2023-11-11 23:19:00,2023-11-11 23:33:00,905,204
Mecánica,422,2023-11-18 18:25:00,2023-11-18 18:47:00,13,402
Mecánica,472,2023-11-18 20:52:00,2023-11-18 21:12:00,403,13
Mecánica,340,2023-12-13 06:31:00,2023-12-13 06:47:00,201,3
Eléctrica,5420,2023-12-14 19:11:00,2023-12-14 19:27:00,3,201
Eléctrica,5266,2023-12-29 18:04:00,2023-12-29 18:23:00,206,803
Eléctrica,5277,2024-01-26 19:03:00,2024-01-26 19:28:00,202,803
Mecánica,445,2024-01-26 23:23:00,2024-01-26 23:44:00,810,204
Mecánica,105,2024-01-29 17:24:00,2024-01-29 17:36:00,201,11
Mecánica,49,2024-01-30 17:33:00,2024-01-30 17:46:00,902,203
Eléctrica,5232,2024-02-02 18:26:00,2024-02-02 18:48:00,204,803
Mecánica,1084,2024-02-03 07:51:00,2024-02-03 08:00:00,201,301
